id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,622084,0,0,2999,282,515.625,62.5,1.017406702041626,0.9864112138748169,0,0,3000,4000
1,661709,875,3116,932,883,1546.875,3562.5,0.9925893545150757,0.9602962732315063,0,0,3000,4000
2,56376,608,1385,395,289,890.625,1437.5,0.9872987270355225,0.9808388352394104,0,0,3000,4000
3,16821,371,1630,96,213,421.875,1687.5,0.9871159791946411,0.9802318215370178,0,0,3000,4000
4,222065,2534,2779,465,1220,2578.125,3812.5,0.981818437576294,0.9788148999214172,0,0,3000,4000
5,46601,1629,1184,334,231,1828.125,1312.5,0.9779938459396362,0.9819643497467041,0,0,3000,4000
6,18431,1055,1159,165,182,1171.875,1187.5,0.9768133163452148,0.9842748641967773,0,0,3000,4000
7,70091,2634,257,365,477,2859.375,312.5,0.9766468405723572,0.95977783203125,0,0,3000,4000
8,101323,0,1790,450,259,46.875,1812.5,0.9683595895767212,0.981886625289917,0,0,3000,4000
9,43852,909,1622,282,321,1078.125,1687.5,0.9682930707931519,0.979169487953186,0,0,3000,4000
10,43253,2634,256,307,186,2859.375,312.5,0.9656521081924438,0.9813814163208008,0,0,3000,4000
11,34501,754,566,362,185,1078.125,687.5,0.964824914932251,0.9672130942344666,0,0,3000,4000
12,132994,736,86,442,568,984.375,562.5,0.9647068977355957,0.9725059270858765,0,0,3000,4000
13,187589,0,2919,259,870,46.875,3312.5,0.963864803314209,0.982666015625,0,0,3000,4000
14,197965,1969,734,1030,343,2484.375,937.5,0.963347315788269,0.9740297198295593,0,0,3000,4000
15,101459,512,2580,326,515,703.125,3062.5,0.9603220224380493,0.9748290181159973,0,0,3000,4000
16,198148,1604,735,1395,416,2859.375,937.5,0.9573612213134766,0.9675822854042053,0,0,3000,4000
